title,channel,publishedAt,duration_min,views,likes,comments,url,video_id,subscriber_count,channel_age_days,language,category_id,category_name,hashtags,channel_description
"Gutfeld! 5/27/25 FULL END SHOW | FOX BREAKING NEWS TRUMP May 27, 2025", ELIS TRAVAIN DECORA,2025-05-28T03:04:00Z,42.32,33339,1249,54,https://www.youtube.com/watch?v=BLQK1Fm5cQs,BLQK1Fm5cQs,,,,,,,
Voditeljska pojačanja za Kesića. Ko bi to mogao biti? | ep374deo02,24 minuta sa Zoranom Kesićem - Zvanični kanal,2025-05-27T18:30:01Z,4.33,32960,1035,30,https://www.youtube.com/watch?v=0V8ApIHQAqw,0V8ApIHQAqw,,,,,,,
Is India Hiring Lobbyists to Influence Trump? India vs Pakistan Lobbying War in the US  By Ankit Sir,Apni Pathshala,2025-05-28T09:11:04Z,16.93,32786,2743,29,https://www.youtube.com/watch?v=TuGcQen2X5U,TuGcQen2X5U,,,,,,,
Rosario salva a Manuel de un atentado | Amor Real 1/2 | Capítulo 88 | tlnovelas,Tlnovelas,2025-05-27T18:00:17Z,12.38,32695,447,33,https://www.youtube.com/watch?v=NZR-7yHVLFw,NZR-7yHVLFw,,,,,,,
Congress Govt Cabinet Reshuffle: ಮಂತ್ರಿಗಿರಿ ಮೇಲೆ ಕಣ್ಣಿಟ್ಟವರಿಗೆ ಬಿಗ್ ಶಾಕ್..!,Republic Kannada,2025-05-28T04:37:30Z,189.5,32180,154,8,https://www.youtube.com/watch?v=gcU5YSfNtfI,gcU5YSfNtfI,,,,,,,
“수단과 방법을 가리지 않는..부도덕한 행위”..“대선 토론회인데 시정잡배들 같아” - [현장PLAY] MBC뉴스 2025년 05월 28일,MBCNEWS,2025-05-28T05:26:39Z,227.88,30472,1169,32,https://www.youtube.com/watch?v=5lCb6GNovsg,5lCb6GNovsg,,,,,,,
"Expósito, tras ver las fotos de Leire Díez con miembros del PSOE: ""Para no conocer a nadie...""",COPE,2025-05-27T18:36:40Z,2.42,29358,1959,137,https://www.youtube.com/watch?v=vILgf1ZAdSA,vILgf1ZAdSA,,,,,,,
"[LIVE] 김문수 ""사전투표 부정 있다면 바로 신고하라, 판 뒤집을 수 있어"" 보수 결집 호소... 양산 표심 잡기 나서｜이 시각 경남 양산 유세 현장",매일신문,2025-05-28T08:02:43Z,139.52,28037,3508,27,https://www.youtube.com/watch?v=kduJpWDczWA,kduJpWDczWA,,,,,,,
วันใหม่ไทยพีบีเอส | 28 พ.ค. 68,Thai PBS,2025-05-28T00:02:56Z,105.83,25727,341,7,https://www.youtube.com/watch?v=g8A89xCK10A,g8A89xCK10A,,,,,,,
Dallas Stars vs. Edmonton Oilers Game 4 | Western Conference Final | Full Game Highlights,NHL on ESPN,2025-05-28T02:56:02Z,17.93,20491,311,152,https://www.youtube.com/watch?v=Hrco7tKNwkw,Hrco7tKNwkw,,,,,,,
Dự báo thời tiết 11h30 - 28/05/2025 | Bắc Bộ chiều và đêm nay mưa lớn | VTVWDB,VTV Thời Tiết,2025-05-28T04:39:22Z,2.23,17401,136,9,https://www.youtube.com/watch?v=pSco8dc-pts,pSco8dc-pts,,,,,,,
[신통방통] 김문수에 힘 실어준 이명박·박근혜… 외연 확장·보수 결집 행보 박차,뉴스TVCHOSUN,2025-05-28T02:50:51Z,9.32,11135,681,96,https://www.youtube.com/watch?v=S6Y3DTjvZVI,S6Y3DTjvZVI,,,,,,,
[에디터픽] '전쟁 범죄' 비판 배경엔…봉쇄된 가자지구 '생지옥' / YTN, YTN,2025-05-28T04:33:27Z,87.5,5793,53,13,https://www.youtube.com/watch?v=8f4HP_yPfyw,8f4HP_yPfyw,,,,,,,
"CHAT-GPT, JUDEUS, CRISTÃOS e REVOLTAS AO VIVO!",Cortes do Inteligência [OFICIAL],2025-05-28T04:59:53Z,27.18,5579,392,213,https://www.youtube.com/watch?v=rojt3A1BpAM,rojt3A1BpAM,,,,,,,
[MULTI SUB]【完整版】 | 我本是不受宠的嫡女，重生后我智斗反派终成王妃！#短剧全集 #最火短剧推荐 | 甜梦剧场,甜梦剧场,2025-05-28T07:21:09Z,156.03,4939,142,3,https://www.youtube.com/watch?v=watLSiSKds4,watLSiSKds4,,,,,,,
SON DƏQİQƏ! Ərdoğanın da təyyarəsi Laçına endi: Qarabağdan dünyaya birlik mesajı verilir - CANLI,ARB24,2025-05-28T07:57:31Z,50.7,4442,205,6,https://www.youtube.com/watch?v=PiD4vtHCd80,PiD4vtHCd80,,,,,,,
Pakistani वायुसेना की रिपोर्ट ने Asim Munir के होश उड़ा दिए! Major Gaurav Arya | Shahbaz Sharif,ET Now Swadesh,2025-05-28T05:45:06Z,36.85,3318,125,9,https://www.youtube.com/watch?v=Puak_9fXT2c,Puak_9fXT2c,,,,,,,
